parameter,seed,integrated_rate_bits
5,3000,1520680.5347047306
5,3001,1567194.936958804
5,3002,1830593.3982926665
5,3003,1799921.3587690217
5,3004,1750631.4834454006
10,3000,1546384.730162019
10,3001,1560802.880882172
10,3002,1828064.5473664962
10,3003,1800461.3599976872
10,3004,1753148.5090232287
20,3000,1592090.128606391
20,3001,1542566.2313374765
20,3002,1814059.9435003295
20,3003,1811772.8718941284
20,3004,1764496.2150300893
30,3000,1556130.8742595576
30,3001,1460987.2272083361
30,3002,1730486.7555330808
30,3003,1747623.1843726612
30,3004,1693677.8042099706
