seed,mean_rate_bps,median_rate_bps,p05_rate_bps,outage_fraction,time_outage_fraction,integrated_rate_bits
1000,265.13543679549343,0.0,0.0,0.8535773710482529,0.8533333333333334,318692.7950281831
1001,213.88759448547654,0.0,0.0,0.8735440931780366,0.8733333333333333,257092.88857154272
1002,237.20226780780396,0.0,0.0,0.8718801996672213,0.8716666666666667,285117.12590498035
1003,225.909259246181,0.0,0.0,0.8652246256239601,0.865,271542.9296139096
1004,225.76645789483172,0.0,0.0,0.870216306156406,0.87,271371.2823895877
1005,215.50869278165618,0.0,0.0,0.8585690515806988,0.8583333333333333,259041.44872355074
1006,226.12186076129643,0.0,0.0,0.8652246256239601,0.865,271798.47663507814
1007,177.9978103332663,0.0,0.0,0.8585690515806988,0.8583333333333333,213953.36802058594
1008,241.41228086893705,0.0,0.0,0.8685524126455907,0.8683333333333333,290177.56160446216
1009,251.21301667810937,0.0,0.0,0.870216306156406,0.87,301958.04604708735
1010,238.112694225121,0.0,0.0,0.8535773710482529,0.8533333333333334,286211.45845859527
1011,206.4981435642534,0.0,0.0,0.8569051580698835,0.8566666666666667,248210.76856423263
