parameter,seed,integrated_rate_bits
2,3000,931419.3415422572
2,3001,939989.0787809337
2,3002,946699.6580883173
2,3003,982799.264815923
2,3004,929662.3270686778
3,3000,1340372.7038793205
3,3001,1400446.7155414722
3,3002,1468191.734323455
3,3003,1470036.0072099897
3,3004,1388446.880398568
4,3000,1495229.4010360937
4,3001,1532535.1024225047
4,3002,1520714.84317837
4,3003,1455066.7924580998
4,3004,1415437.7177083197
6,3000,1504586.3625760279
6,3001,1563660.616379012
6,3002,1601096.093775727
6,3003,1551485.591620037
6,3004,1545238.607606478
