time_s,route,rate_bits_per_second
-600.0,disconnected,0.0
-598.0,disconnected,0.0
-596.0,disconnected,0.0
-594.0,disconnected,0.0
-592.0,disconnected,0.0
-590.0,disconnected,0.0
-588.0,disconnected,0.0
-586.0,disconnected,0.0
-584.0,disconnected,0.0
-582.0,disconnected,0.0
-580.0,disconnected,0.0
-578.0,disconnected,0.0
-576.0,disconnected,0.0
-574.0,disconnected,0.0
-572.0,disconnected,0.0
-570.0,disconnected,0.0
-568.0,disconnected,0.0
-566.0,disconnected,0.0
-564.0,disconnected,0.0
-562.0,disconnected,0.0
-560.0,disconnected,0.0
-558.0,disconnected,0.0
-556.0,disconnected,0.0
-554.0,disconnected,0.0
-552.0,disconnected,0.0
-550.0,disconnected,0.0
-548.0,disconnected,0.0
-546.0,disconnected,0.0
-544.0,disconnected,0.0
-542.0,disconnected,0.0
-540.0,disconnected,0.0
-538.0,disconnected,0.0
-536.0,disconnected,0.0
-534.0,disconnected,0.0
-532.0,disconnected,0.0
-530.0,disconnected,0.0
-528.0,disconnected,0.0
-526.0,disconnected,0.0
-524.0,disconnected,0.0
-522.0,disconnected,0.0
-520.0,disconnected,0.0
-518.0,disconnected,0.0
-516.0,disconnected,0.0
-514.0,disconnected,0.0
-512.0,disconnected,0.0
-510.0,disconnected,0.0
-508.0,disconnected,0.0
-506.0,disconnected,0.0
-504.0,disconnected,0.0
-502.0,disconnected,0.0
-500.0,disconnected,0.0
-498.0,disconnected,0.0
-496.0,disconnected,0.0
-494.0,disconnected,0.0
-492.0,disconnected,0.0
-490.0,disconnected,0.0
-488.0,disconnected,0.0
-486.0,disconnected,0.0
-484.0,disconnected,0.0
-482.0,disconnected,0.0
-480.0,disconnected,0.0
-478.0,disconnected,0.0
-476.0,disconnected,0.0
-474.0,disconnected,0.0
-472.0,disconnected,0.0
-470.0,disconnected,0.0
-468.0,disconnected,0.0
-466.0,disconnected,0.0
-464.0,disconnected,0.0
-462.0,disconnected,0.0
-460.0,disconnected,0.0
-458.0,disconnected,0.0
-456.0,disconnected,0.0
-454.0,disconnected,0.0
-452.0,disconnected,0.0
-450.0,disconnected,0.0
-448.0,disconnected,0.0
-446.0,disconnected,0.0
-444.0,disconnected,0.0
-442.0,disconnected,0.0
-440.0,disconnected,0.0
-438.0,disconnected,0.0
-436.0,disconnected,0.0
-434.0,disconnected,0.0
-432.0,disconnected,0.0
-430.0,disconnected,0.0
-428.0,disconnected,0.0
-426.0,disconnected,0.0
-424.0,disconnected,0.0
-422.0,disconnected,0.0
-420.0,disconnected,0.0
-418.0,disconnected,0.0
-416.0,disconnected,0.0
-414.0,disconnected,0.0
-412.0,disconnected,0.0
-410.0,disconnected,0.0
-408.0,disconnected,0.0
-406.0,disconnected,0.0
-404.0,disconnected,0.0
-402.0,disconnected,0.0
-400.0,disconnected,0.0
-398.0,disconnected,0.0
-396.0,disconnected,0.0
-394.0,disconnected,0.0
-392.0,disconnected,0.0
-390.0,disconnected,0.0
-388.0,disconnected,0.0
-386.0,disconnected,0.0
-384.0,disconnected,0.0
-382.0,disconnected,0.0
-380.0,disconnected,0.0
-378.0,disconnected,0.0
-376.0,disconnected,0.0
-374.0,disconnected,0.0
-372.0,disconnected,0.0
-370.0,disconnected,0.0
-368.0,disconnected,0.0
-366.0,disconnected,0.0
-364.0,disconnected,0.0
-362.0,disconnected,0.0
-360.0,disconnected,0.0
-358.0,disconnected,0.0
-356.0,disconnected,0.0
-354.0,disconnected,0.0
-352.0,disconnected,0.0
-350.0,disconnected,0.0
-348.0,disconnected,0.0
-346.0,disconnected,0.0
-344.0,disconnected,0.0
-342.0,disconnected,0.0
-340.0,disconnected,0.0
-338.0,disconnected,0.0
-336.0,disconnected,0.0
-334.0,disconnected,0.0
-332.0,disconnected,0.0
-330.0,disconnected,0.0
-328.0,disconnected,0.0
-326.0,disconnected,0.0
-324.0,disconnected,0.0
-322.0,disconnected,0.0
-320.0,disconnected,0.0
-318.0,disconnected,0.0
-316.0,disconnected,0.0
-314.0,disconnected,0.0
-312.0,disconnected,0.0
-310.0,disconnected,0.0
-308.0,disconnected,0.0
-306.0,disconnected,0.0
-304.0,disconnected,0.0
-302.0,disconnected,0.0
-300.0,disconnected,0.0
-298.0,disconnected,0.0
-296.0,disconnected,0.0
-294.0,disconnected,0.0
-292.0,disconnected,0.0
-290.0,disconnected,0.0
-288.0,disconnected,0.0
-286.0,disconnected,0.0
-284.0,disconnected,0.0
-282.0,disconnected,0.0
-280.0,disconnected,0.0
-278.0,disconnected,0.0
-276.0,disconnected,0.0
-274.0,disconnected,0.0
-272.0,disconnected,0.0
-270.0,disconnected,0.0
-268.0,disconnected,0.0
-266.0,disconnected,0.0
-264.0,disconnected,0.0
-262.0,disconnected,0.0
-260.0,disconnected,0.0
-258.0,disconnected,0.0
-256.0,disconnected,0.0
-254.0,disconnected,0.0
-252.0,disconnected,0.0
-250.0,disconnected,0.0
-248.0,disconnected,0.0
-246.0,disconnected,0.0
-244.0,disconnected,0.0
-242.0,disconnected,0.0
-240.0,disconnected,0.0
-238.0,disconnected,0.0
-236.0,disconnected,0.0
-234.0,disconnected,0.0
-232.0,disconnected,0.0
-230.0,disconnected,0.0
-228.0,disconnected,0.0
-226.0,disconnected,0.0
-224.0,disconnected,0.0
-222.0,disconnected,0.0
-220.0,disconnected,0.0
-218.0,disconnected,0.0
-216.0,disconnected,0.0
-214.0,disconnected,0.0
-212.0,disconnected,0.0
-210.0,disconnected,0.0
-208.0,disconnected,0.0
-206.0,disconnected,0.0
-204.0,disconnected,0.0
-202.0,disconnected,0.0
-200.0,disconnected,0.0
-198.0,disconnected,0.0
-196.0,disconnected,0.0
-194.0,disconnected,0.0
-192.0,disconnected,0.0
-190.0,disconnected,0.0
-188.0,disconnected,0.0
-186.0,disconnected,0.0
-184.0,disconnected,0.0
-182.0,disconnected,0.0
-180.0,disconnected,0.0
-178.0,disconnected,0.0
-176.0,disconnected,0.0
-174.0,disconnected,0.0
-172.0,disconnected,0.0
-170.0,disconnected,0.0
-168.0,disconnected,0.0
-166.0,disconnected,0.0
-164.0,disconnected,0.0
-162.0,disconnected,0.0
-160.0,disconnected,0.0
-158.0,disconnected,0.0
-156.0,disconnected,0.0
-154.0,disconnected,0.0
-152.0,Ground A -> Sat 1 -> Sat 2 -> Ground B,26.88214956535664
-150.0,Ground A -> Sat 1 -> Sat 2 -> Ground B,66.10724412854042
