time_s,i_zero_based,j_zero_based,label,kind,distance_km,elevation_deg,visible,eta,qber,key_rate_bps,cumulative_key_bits
-600.0,0,1,Ground A - Sat 1,ground,4348.697350471533,-12.814763156879211,False,0.0,,0.0,0.0
-598.0,0,1,Ground A - Sat 1,ground,4334.922209273119,-12.728943130327584,False,0.0,,0.0,0.0
-596.0,0,1,Ground A - Sat 1,ground,4321.142402643361,-12.642980855945362,False,0.0,,0.0,0.0
-594.0,0,1,Ground A - Sat 1,ground,4307.357953861325,-12.556874920014439,False,0.0,,0.0,0.0
-592.0,0,1,Ground A - Sat 1,ground,4293.568886295434,-12.470623890132897,False,0.0,,0.0,0.0
-590.0,0,1,Ground A - Sat 1,ground,4279.775223404823,-12.38422631490674,False,0.0,,0.0,0.0
-588.0,0,1,Ground A - Sat 1,ground,4265.976988740728,-12.297680723635338,False,0.0,,0.0,0.0
-586.0,0,1,Ground A - Sat 1,ground,4252.174205947894,-12.21098562599078,False,0.0,,0.0,0.0
-584.0,0,1,Ground A - Sat 1,ground,4238.366898766014,-12.1241395116908,False,0.0,,0.0,0.0
-582.0,0,1,Ground A - Sat 1,ground,4224.555091031204,-12.03714085016506,False,0.0,,0.0,0.0
-580.0,0,1,Ground A - Sat 1,ground,4210.738806677498,-11.949988090214987,False,0.0,,0.0,0.0
-578.0,0,1,Ground A - Sat 1,ground,4196.918069738383,-11.862679659666561,False,0.0,,0.0,0.0
-576.0,0,1,Ground A - Sat 1,ground,4183.0929043483575,-11.775213965016196,False,0.0,,0.0,0.0
-574.0,0,1,Ground A - Sat 1,ground,4169.263334744527,-11.687589391069402,False,0.0,,0.0,0.0
-572.0,0,1,Ground A - Sat 1,ground,4155.429385268236,-11.599804300572224,False,0.0,,0.0,0.0
-570.0,0,1,Ground A - Sat 1,ground,4141.591080366721,-11.511857033835042,False,0.0,,0.0,0.0
-568.0,0,1,Ground A - Sat 1,ground,4127.748444594815,-11.423745908348797,False,0.0,,0.0,0.0
-566.0,0,1,Ground A - Sat 1,ground,4113.901502616675,-11.335469218393275,False,0.0,,0.0,0.0
-564.0,0,1,Ground A - Sat 1,ground,4100.050279207553,-11.247025234637363,False,0.0,,0.0,0.0
-562.0,0,1,Ground A - Sat 1,ground,4086.1947992555965,-11.158412203731103,False,0.0,,0.0,0.0
-560.0,0,1,Ground A - Sat 1,ground,4072.3350877636976,-11.069628347889237,False,0.0,,0.0,0.0
-558.0,0,1,Ground A - Sat 1,ground,4058.4711698513684,-10.980671864466112,False,0.0,,0.0,0.0
-556.0,0,1,Ground A - Sat 1,ground,4044.60307075667,-10.891540925521769,False,0.0,,0.0,0.0
-554.0,0,1,Ground A - Sat 1,ground,4030.7308158381766,-10.802233677378956,False,0.0,,0.0,0.0
-552.0,0,1,Ground A - Sat 1,ground,4016.8544305769733,-10.712748240170765,False,0.0,,0.0,0.0
-550.0,0,1,Ground A - Sat 1,ground,4002.973940578712,-10.623082707378899,False,0.0,,0.0,0.0
-548.0,0,1,Ground A - Sat 1,ground,3989.089371575702,-10.533235145362001,False,0.0,,0.0,0.0
-546.0,0,1,Ground A - Sat 1,ground,3975.2007494290456,-10.443203592874184,False,0.0,,0.0,0.0
-544.0,0,1,Ground A - Sat 1,ground,3961.3081001308274,-10.352986060573159,False,0.0,,0.0,0.0
-542.0,0,1,Ground A - Sat 1,ground,3947.4114498063395,-10.262580530517994,False,0.0,,0.0,0.0
